,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.264322,0.256291,0.232643,0.226,0.220882,,
Normalized EBITDA,10420000000.0,12476000000.0,13575000000.0,10000000000.0,11054000000.0,,
Net Income From Continuing Operation Net Minority Interest,4237000000.0,6143000000.0,7026000000.0,4487000000.0,5254000000.0,,
Reconciled Depreciation,3741000000.0,3606000000.0,3487000000.0,3369000000.0,3374000000.0,,
Reconciled Cost Of Revenue,143615000000.0,134706000000.0,132771000000.0,124303000000.0,136172000000.0,,
EBITDA,10420000000.0,12476000000.0,13575000000.0,10000000000.0,11054000000.0,,
EBIT,6679000000.0,8870000000.0,10088000000.0,6631000000.0,7680000000.0,,
Net Interest Income,-621000000.0,-591000000.0,-675000000.0,-544000000.0,-602000000.0,,
Interest Expense,709000000.0,684000000.0,769000000.0,637000000.0,717000000.0,,
Interest Income,88000000.0,93000000.0,94000000.0,93000000.0,115000000.0,,
Normalized Income,4237000000.0,6143000000.0,7026000000.0,4487000000.0,5254000000.0,,
Net Income From Continuing And Discontinued Operation,4237000000.0,6143000000.0,7026000000.0,4487000000.0,5254000000.0,,
Total Expenses,181948000000.0,172800000000.0,170116000000.0,158474000000.0,172695000000.0,,
Total Operating Income As Reported,8708000000.0,6696000000.0,7286000000.0,7135000000.0,7859000000.0,,
Diluted Average Shares,8009000000.0,8011000000.0,8016000000.0,8051000000.0,8078000000.0,,
Basic Average Shares,7971000000.0,7974000000.0,7978000000.0,8011000000.0,8029000000.0,,
Diluted EPS,0.53,0.77,0.88,0.56,0.65,,
Basic EPS,0.53,0.77,0.88,0.56,0.65,,
Diluted NI Availto Com Stockholders,4237000000.0,6143000000.0,7026000000.0,4487000000.0,5254000000.0,,
Net Income Common Stockholders,4237000000.0,6143000000.0,7026000000.0,4487000000.0,5254000000.0,,
Net Income,4237000000.0,6143000000.0,7026000000.0,4487000000.0,5254000000.0,,
Minority Interests,-155000000.0,55000000.0,-125000000.0,-152000000.0,-171000000.0,,
Net Income Including Noncontrolling Interests,4392000000.0,6088000000.0,7151000000.0,4639000000.0,5425000000.0,,
Net Income Continuous Operations,4392000000.0,6088000000.0,7151000000.0,4639000000.0,5425000000.0,,
Tax Provision,1578000000.0,2098000000.0,2168000000.0,1355000000.0,1538000000.0,,
Pretax Income,5970000000.0,8186000000.0,9319000000.0,5994000000.0,6963000000.0,,
Other Income Expense,-2117000000.0,2081000000.0,2708000000.0,-597000000.0,-294000000.0,,
Other Non Operating Income Expenses,-2117000000.0,2081000000.0,2708000000.0,-597000000.0,-294000000.0,,
Net Non Operating Interest Income Expense,-621000000.0,-591000000.0,-675000000.0,-544000000.0,-602000000.0,,
Interest Expense Non Operating,709000000.0,684000000.0,769000000.0,637000000.0,717000000.0,,
Interest Income Non Operating,88000000.0,93000000.0,94000000.0,93000000.0,115000000.0,,
Operating Income,8708000000.0,6696000000.0,7286000000.0,7135000000.0,7859000000.0,,
Operating Expense,38333000000.0,38094000000.0,37345000000.0,34171000000.0,36523000000.0,,
Other Operating Expenses,38333000000.0,38094000000.0,37345000000.0,34171000000.0,36523000000.0,,
Selling General And Administration,,,,,36523000000.0,35540000000.0,34585000000.0
Gross Profit,47041000000.0,44790000000.0,44631000000.0,41306000000.0,44382000000.0,,
Cost Of Revenue,143615000000.0,134706000000.0,132771000000.0,124303000000.0,136172000000.0,,
Total Revenue,190656000000.0,179496000000.0,177402000000.0,165609000000.0,180554000000.0,,
Operating Revenue,190656000000.0,179496000000.0,177402000000.0,165609000000.0,180554000000.0,,
