,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Payments,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Depreciation Amortization Depletion,Depreciation And Amortization,Net Income From Continuing Operations
CL,1276000000.0,-406000000.0,0.0,691000000.0,-177000000.0,201000000.0,1288000000.0,1279000000.0,-11000000.0,-1361000000.0,-1361000000.0,-13000000.0,-523000000.0,-523000000.0,-406000000.0,-406000000.0,-437000000.0,-1128000000.0,,691000000.0,0.0,691000000.0,-103000000.0,-103000000.0,-9000000.0,83000000.0,244000000.0,-161000000.0,,,1453000000.0,1453000000.0,447000000.0,,,221000000.0,,,100000000.0,164000000.0,,8000000.0,28000000.0,173000000.0,173000000.0,-5000000.0
KMB,575000000.0,-1000000.0,0.0,,-397000000.0,,701000000.0,634000000.0,63000000.0,-608000000.0,-608000000.0,-50000000.0,-418000000.0,-418000000.0,-1000000.0,-1000000.0,-139000000.0,-139000000.0,,0.0,0.0,,-301000000.0,-301000000.0,32000000.0,64000000.0,136000000.0,-72000000.0,,,972000000.0,972000000.0,176000000.0,,,,,,,,,1000000.0,25000000.0,189000000.0,189000000.0,510000000.0
GIS,295500000.0,-200000.0,-698700000.0,0.0,-102400000.0,,785500000.0,683400000.0,81700000.0,-210200000.0,-210200000.0,-3400000.0,-328400000.0,-328400000.0,-200000.0,-200000.0,121700000.0,820400000.0,,-698700000.0,-698700000.0,0.0,-106000000.0,-106000000.0,13700000.0,,,,-99600000.0,-102400000.0,397900000.0,397900000.0,-184500000.0,-142300000.0,,-332200000.0,-332200000.0,-332200000.0,283600000.0,50400000.0,,6300000.0,26300000.0,139400000.0,139400000.0,305500000.0
CPB,416000000.0,-2000000.0,-703000000.0,800000000.0,-100000000.0,,561000000.0,168000000.0,392000000.0,-27000000.0,-27000000.0,-5000000.0,-117000000.0,-117000000.0,-2000000.0,-2000000.0,97000000.0,-452000000.0,-703000000.0,549000000.0,0.0,549000000.0,-97000000.0,-97000000.0,,,,,-100000000.0,-100000000.0,516000000.0,516000000.0,217000000.0,,-19000000.0,-8000000.0,,,147000000.0,97000000.0,97000000.0,20000000.0,20000000.0,102000000.0,102000000.0,145000000.0
HSY,788468000.0,0.0,-1752000.0,0.0,-138085000.0,30058000.0,925859000.0,1163017000.0,-236897000.0,-266915000.0,-266915000.0,-1597000.0,-271341000.0,-271341000.0,0.0,0.0,1984000.0,3736000.0,,-1752000.0,-1752000.0,0.0,-896535000.0,-896535000.0,68000.0,,,,,,926553000.0,926553000.0,332297000.0,,,-366821000.0,-366821000.0,-290147000.0,311694000.0,255947000.0,255947000.0,18014000.0,19007000.0,132521000.0,132521000.0,320017000.0
JNJ,5472000000.0,-1924000000.0,-1808000000.0,3913000000.0,-1837000000.0,,19709000000.0,18231000000.0,1455000000.0,-1369000000.0,-1369000000.0,-6000000.0,-3131000000.0,-3131000000.0,-1924000000.0,-1924000000.0,2105000000.0,2107000000.0,-1806000000.0,-2000000.0,-2000000.0,0.0,-4485000000.0,-4485000000.0,-1880000000.0,2314000000.0,219000000.0,2095000000.0,-1837000000.0,-1837000000.0,7309000000.0,7309000000.0,3596000000.0,499000000.0,1486000000.0,1266000000.0,,,-46000000.0,391000000.0,391000000.0,0.0,309000000.0,2011000000.0,2011000000.0,5116000000.0
PFE,4503000000.0,,-2906000000.0,5991000000.0,-845000000.0,1017000000.0,1197000000.0,1394000000.0,-202000000.0,596000000.0,597000000.0,-44000000.0,-2445000000.0,-2445000000.0,,,3085000000.0,101000000.0,101000000.0,2984000000.0,-3007000000.0,5991000000.0,-6146000000.0,-6146000000.0,-137000000.0,1763000000.0,5314000000.0,-3551000000.0,-845000000.0,-845000000.0,5348000000.0,5350000000.0,1590000000.0,,,,,,,,,-487000000.0,225000000.0,1687000000.0,1687000000.0,-1640000000.0
UNH,160000000.0,0.0,-1050000000.0,0.0,-948000000.0,,24365000000.0,27210000000.0,-2534000000.0,-1031000000.0,-1031000000.0,2659000000.0,-2002000000.0,-2002000000.0,24000000.0,0.0,-1712000000.0,-662000000.0,,-1050000000.0,-1050000000.0,0.0,-2611000000.0,-2611000000.0,-294000000.0,-1296000000.0,3272000000.0,-4568000000.0,-948000000.0,-948000000.0,1108000000.0,1108000000.0,-495000000.0,,-1501000000.0,1728000000.0,1728000000.0,2082000000.0,,-829000000.0,-829000000.0,699000000.0,176000000.0,1117000000.0,1117000000.0,218000000.0
ABBV,4889000000.0,-3000000.0,-799000000.0,-500000000.0,-329000000.0,,5229000000.0,5629000000.0,-411000000.0,-4166000000.0,-4166000000.0,-1000000.0,-2911000000.0,-2911000000.0,-3000000.0,-3000000.0,-1299000000.0,-1291000000.0,-791000000.0,-8000000.0,-8000000.0,0.0,-1463000000.0,-1463000000.0,-1000000.0,28000000.0,34000000.0,-6000000.0,-329000000.0,-329000000.0,5218000000.0,5218000000.0,-473000000.0,,,-598000000.0,-598000000.0,-598000000.0,-25000000.0,162000000.0,162000000.0,1981000000.0,157000000.0,1987000000.0,1987000000.0,1815000000.0
MRK,1824000000.0,-1252000000.0,-2000000.0,7918000000.0,-1033000000.0,,14690000000.0,18260000000.0,-3593000000.0,4751000000.0,4751000000.0,121000000.0,-2018000000.0,-2018000000.0,-1252000000.0,-1252000000.0,7853000000.0,,,7916000000.0,-2000000.0,7918000000.0,-11201000000.0,-11201000000.0,-172000000.0,46000000.0,46000000.0,0.0,,,2857000000.0,2857000000.0,-2319000000.0,,,,,,,,,118000000.0,205000000.0,2466000000.0,2466000000.0,2962000000.0
