,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Payments,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Depreciation Amortization Depletion,Depreciation And Amortization,Net Income From Continuing Operations
BA,366000000.0,,-2900000000.0,27000000.0,-965000000.0,,10921000000.0,6173000000.0,4780000000.0,-2951000000.0,-2951000000.0,9000000.0,-87000000.0,,,,-2873000000.0,,,-2873000000.0,-2900000000.0,27000000.0,6400000000.0,6400000000.0,-367000000.0,-1647000000.0,13954000000.0,-15601000000.0,-879000000.0,-956000000.0,1331000000.0,1331000000.0,1541000000.0,-52000000.0,-72000000.0,952000000.0,185000000.0,185000000.0,-1385000000.0,743000000.0,741000000.0,404000000.0,83000000.0,536000000.0,536000000.0,8220000000.0
HON,1146000000.0,-100000000.0,-7458000000.0,5126000000.0,-58000000.0,,12487000000.0,12930000000.0,-452000000.0,-1313000000.0,-1313000000.0,1784000000.0,-762000000.0,-762000000.0,-3000000.0,-100000000.0,-2332000000.0,-978000000.0,-6104000000.0,-1354000000.0,-1354000000.0,0.0,-343000000.0,-74000000.0,,-13000000.0,421000000.0,-434000000.0,8000000.0,,1204000000.0,871000000.0,985000000.0,,-34000000.0,1045000000.0,314000000.0,314000000.0,-32000000.0,210000000.0,210000000.0,-880000000.0,42000000.0,213000000.0,213000000.0,-427000000.0
UPS,2586000000.0,0.0,-924000000.0,0.0,-716000000.0,,5887000000.0,6764000000.0,-893000000.0,-2194000000.0,-2194000000.0,57000000.0,-1353000000.0,-1353000000.0,26000000.0,0.0,-924000000.0,0.0,,-924000000.0,-924000000.0,0.0,-2001000000.0,-2001000000.0,25000000.0,64000000.0,64000000.0,0.0,,,3302000000.0,3302000000.0,-240000000.0,11000000.0,145000000.0,840000000.0,611000000.0,611000000.0,,-1236000000.0,-1236000000.0,338000000.0,32000000.0,972000000.0,972000000.0,1791000000.0
RTX,3050000000.0,0.0,-1140000000.0,,-1115000000.0,,7435000000.0,5966000000.0,1462000000.0,-2154000000.0,-2154000000.0,-94000000.0,-914000000.0,-914000000.0,0.0,0.0,-1146000000.0,-6000000.0,,-1140000000.0,-1140000000.0,,-549000000.0,-549000000.0,-36000000.0,-141000000.0,92000000.0,,,,4165000000.0,4165000000.0,907000000.0,,-76000000.0,1322000000.0,,,483000000.0,-2266000000.0,-1747000000.0,-70000000.0,320000000.0,1159000000.0,1159000000.0,1713000000.0
LMT,2756000000.0,-750000000.0,-500000000.0,0.0,-463000000.0,,4121000000.0,3470000000.0,651000000.0,-2055000000.0,-2055000000.0,-6000000.0,-799000000.0,,-750000000.0,-750000000.0,-500000000.0,,,-500000000.0,-500000000.0,0.0,-513000000.0,-513000000.0,-50000000.0,,,,,,3219000000.0,3219000000.0,1839000000.0,,,-458000000.0,-458000000.0,-303000000.0,225000000.0,891000000.0,-57000000.0,-1295000000.0,89000000.0,463000000.0,463000000.0,1344000000.0
MMM,1335000000.0,-552000000.0,-11000000.0,0.0,-248000000.0,,5235000000.0,4671000000.0,561000000.0,-617000000.0,-617000000.0,-10000000.0,-387000000.0,-387000000.0,-552000000.0,-552000000.0,-11000000.0,0.0,,-11000000.0,-11000000.0,0.0,-405000000.0,-405000000.0,0.0,-183000000.0,283000000.0,-466000000.0,-222000000.0,-248000000.0,1583000000.0,1583000000.0,390000000.0,,,79000000.0,79000000.0,-46000000.0,231000000.0,240000000.0,240000000.0,-46000000.0,43000000.0,430000000.0,430000000.0,574000000.0
UNP,1226000000.0,0.0,-4000000.0,0.0,-999000000.0,-298000000.0,1280000000.0,830000000.0,450000000.0,-804000000.0,-804000000.0,18000000.0,-818000000.0,-818000000.0,0.0,0.0,-4000000.0,,,-4000000.0,-4000000.0,0.0,-971000000.0,-971000000.0,28000000.0,,,,,,2225000000.0,2225000000.0,-117000000.0,,24000000.0,128000000.0,128000000.0,128000000.0,-5000000.0,61000000.0,61000000.0,-199000000.0,,624000000.0,624000000.0,1848000000.0
FDX,1194000000.0,-296000000.0,-22000000.0,0.0,-757000000.0,1078000000.0,6570000000.0,6166000000.0,458000000.0,-632000000.0,-632000000.0,-4000000.0,-342000000.0,-342000000.0,-264000000.0,-296000000.0,-22000000.0,,,-22000000.0,-22000000.0,0.0,-861000000.0,-861000000.0,41000000.0,-145000000.0,147000000.0,-292000000.0,,,1951000000.0,1951000000.0,-1184000000.0,,-93000000.0,-154000000.0,-154000000.0,-154000000.0,,-979000000.0,,818000000.0,43000000.0,1068000000.0,1068000000.0,956000000.0
CSX,709000000.0,-112000000.0,-601000000.0,300000000.0,-677000000.0,,670000000.0,612000000.0,58000000.0,-622000000.0,-622000000.0,33000000.0,-242000000.0,,-112000000.0,-112000000.0,-301000000.0,,,-301000000.0,-601000000.0,300000000.0,-706000000.0,-706000000.0,-50000000.0,8000000.0,8000000.0,,-663000000.0,-677000000.0,1386000000.0,1386000000.0,223000000.0,112000000.0,-55000000.0,48000000.0,48000000.0,-61000000.0,,118000000.0,118000000.0,-12000000.0,,404000000.0,404000000.0,720000000.0
NSC,334000000.0,0.0,-5000000.0,0.0,-729000000.0,58000000.0,1530000000.0,1418000000.0,112000000.0,-307000000.0,-307000000.0,,-303000000.0,,1000000.0,0.0,-5000000.0,,,-5000000.0,-5000000.0,0.0,-644000000.0,-644000000.0,,41000000.0,47000000.0,-6000000.0,-685000000.0,-729000000.0,1063000000.0,1063000000.0,281000000.0,234000000.0,-91000000.0,,,,26000000.0,112000000.0,112000000.0,-66000000.0,,353000000.0,353000000.0,644000000.0
DE,-1578000000.0,-302000000.0,-3360000000.0,780000000.0,-688000000.0,,7073000000.0,8533000000.0,-1558000000.0,-2490000000.0,-2490000000.0,-15000000.0,-441000000.0,-441000000.0,-302000000.0,-302000000.0,-1732000000.0,848000000.0,,-2580000000.0,-3360000000.0,780000000.0,1822000000.0,1822000000.0,2118000000.0,15000000.0,144000000.0,-129000000.0,-311000000.0,-688000000.0,-890000000.0,-890000000.0,-2164000000.0,,,-1486000000.0,,,-746000000.0,350000000.0,350000000.0,-66000000.0,41000000.0,590000000.0,590000000.0,655000000.0
ITW,858000000.0,-375000000.0,0.0,0.0,-105000000.0,190000000.0,851000000.0,924000000.0,-76000000.0,-818000000.0,-818000000.0,0.0,-467000000.0,-467000000.0,-370000000.0,-375000000.0,19000000.0,19000000.0,,0.0,0.0,0.0,-221000000.0,-221000000.0,-1000000.0,1000000.0,1000000.0,,-101000000.0,-105000000.0,963000000.0,963000000.0,24000000.0,,,-46000000.0,-89000000.0,-89000000.0,82000000.0,43000000.0,43000000.0,5000000.0,17000000.0,103000000.0,103000000.0,790000000.0
EMR,602000000.0,-250000000.0,-3171000000.0,3473000000.0,-97000000.0,,1748000000.0,1544000000.0,210000000.0,-364000000.0,-364000000.0,-104000000.0,-312000000.0,-312000000.0,-250000000.0,-250000000.0,302000000.0,889000000.0,-2584000000.0,-587000000.0,-587000000.0,,-125000000.0,-125000000.0,-28000000.0,,,,,,699000000.0,699000000.0,-357000000.0,,-52000000.0,-283000000.0,-33000000.0,-33000000.0,-141000000.0,119000000.0,,36000000.0,55000000.0,359000000.0,359000000.0,606000000.0
ETN,1573000000.0,-193000000.0,-3000000.0,0.0,-392000000.0,,622000000.0,328000000.0,287000000.0,-1361000000.0,-1361000000.0,-3000000.0,-404000000.0,,-193000000.0,-193000000.0,-763000000.0,-760000000.0,,-3000000.0,-3000000.0,0.0,-318000000.0,-318000000.0,-35000000.0,68000000.0,,,27000000.0,,1965000000.0,1965000000.0,595000000.0,,,,,,,,,-94000000.0,,255000000.0,255000000.0,1132000000.0
SLB,2405000000.0,0.0,-485000000.0,-660000000.0,-600000000.0,,3036000000.0,3014000000.0,14000000.0,-1721000000.0,-1721000000.0,-113000000.0,-426000000.0,-426000000.0,0.0,0.0,-1181000000.0,-36000000.0,,-1145000000.0,-485000000.0,-660000000.0,-1270000000.0,-1270000000.0,101000000.0,-728000000.0,-522000000.0,-206000000.0,,,3005000000.0,3005000000.0,1228000000.0,-2000000.0,-60000000.0,660000000.0,660000000.0,599000000.0,177000000.0,453000000.0,,149000000.0,75000000.0,198000000.0,198000000.0,800000000.0
