Date,Close,High,Low,Open,Volume
2006-01-03,2.239734411239624,2.239734411239624,2.1648267934585825,2.1687220727934364,807234400
2006-01-04,2.2463269233703613,2.2765892567538395,2.232243985995882,2.25112071476764,619603600
2006-01-05,2.2286486625671387,2.244228981314742,2.2097719378605087,2.2421315230085312,449422400
2006-01-06,2.2861766815185547,2.2981621551120637,2.233741434694509,2.2547156134339645,704457600
2006-01-09,2.278686761856079,2.3131448165796313,2.2693986149980363,2.2990618776825205,675040800
2006-01-10,2.422809362411499,2.453671575747683,2.27209534018152,2.284679695104865,2279869200
2006-01-11,2.5138962268829346,2.5408621460256327,2.4746443955093476,2.5120984055952653,1493794400
2006-01-12,2.525581121444702,2.5888030996246347,2.505506451664443,2.5459562281876256,1280809600
2006-01-13,2.564533233642578,2.5771175805164703,2.53486998742227,2.5465550237524837,776305600
2006-01-17,2.538166046142578,2.5882044097666608,2.512997145888523,2.5678293000019896,835623600
2006-01-18,2.471647024154663,2.5183899661906914,2.4524708685011283,2.4893257958652932,1200637200
2006-01-19,2.368276357650757,2.4467800487303584,2.3592878480422668,2.434495132188875,1695848000
2006-01-20,2.2798850536346436,2.3982386333315358,2.272094493934064,2.375467428200761,1134758800
2006-01-23,2.3272275924682617,2.383857580915035,2.2771892174622277,2.280184987156406,1059730000
2006-01-24,2.278386354446411,2.379662016372405,2.270296158951387,2.3598857829155104,1142254400
2006-01-25,2.2232558727264404,2.322133688611983,2.19479055597146,2.318838081455338,1275786400
2006-01-26,2.167224168777466,2.2601100194614925,2.1552394913430293,2.2331432950860597,1181387200
2006-01-27,2.158236026763916,2.205277638247222,2.1303705842892935,2.1858018322216197,953864800
2006-01-30,2.247224807739258,2.2951657087172963,2.1234775758666258,2.1324670823723313,1398401200
2006-01-31,2.2625062465667725,2.2873757050517827,2.209771561172452,2.2622068097415617,913542000
2006-02-01,2.2598087787628174,2.290970406434494,2.2364377080274873,2.2457266490146237,521186400
2006-02-02,2.1603329181671143,2.2580125597663034,2.15883453345157,2.2502219993736956,707322000
2006-02-03,2.1528420448303223,2.1810077202669387,2.128572450141335,2.164527886777031,692123600
2006-02-06,2.016509771347046,2.172617598980844,1.9997305046627538,2.157935790638248,1651767600
2006-02-07,2.0254993438720703,2.081830083884676,1.9979335477339646,2.0455742171197744,1388830800
2006-02-08,2.061753749847412,2.0698439439765357,1.9775578037864003,2.052165171595724,953114400
2006-02-09,1.9460976123809814,2.0743392284301936,1.9335130603271262,2.070443748000267,1149764000
2006-02-10,2.0168099403381348,2.027596467469877,1.8846730827404956,1.9529882879738234,1760477600
2006-02-13,1.9389064311981201,2.0000317857359295,1.93680917199596,1.9964359413222688,883498000
2006-02-14,2.0266973972320557,2.0404806947093914,1.9475956554838212,1.9505916244513655,1160938800
2006-02-15,2.0740387439727783,2.086024217245243,2.0000304467611834,2.012314556742523,1159771200
